test MCC		0.22819,	0.23842,	0.25275,	0.22508,	0.22888,	0.23018,	0.25693,	0.21796,	0.22787,	0.22542,	0.23205,	0.22728,	0.36110,	0.21736,	0.23002,	0.22102,	0.22767,	0.22367,	0.25129,	0.23166,
test Accuracy		60.14412,	62.30599,	62.77716,	61.16962,	62.38914,	61.41907,	62.80488,	59.72838,	61.86253,	61.05876,	61.30820,	60.78160,	68.70843,	61.00333,	60.80931,	62.27827,	60.72616,	61.77938,	61.30820,	61.28049,
dev MCC	gold	0.20657,	0.19286,	0.20052,	0.18844,	0.19922,	0.21066,	0.19872,	0.19051,	0.19781,	0.20113,	0.20481,	0.19869,	0.27648,	0.20380,	0.20215,	0.18665,	0.19657,	0.20007,	0.21436,	0.19381,
jason fed the casserole to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
jason fed the children the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole fed the meal to the guests .	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	1	0	0
nicole fed the guests the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the casserole to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the family the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher served the meal to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher served the family the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john gave a gift to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the family a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a puppy to the little boy .	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a plate of food to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a gift .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a surprise .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
john left a puppy to the little boy .	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1
john left the little boy a puppy .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a book to the little boy .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left the little boy a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the family a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a surprise to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a puppy to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason sold a book to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0
jason sold the customer a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica sold a computer to the mother .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jessica sold the mother a computer .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
christopher sold a car to the sales clerk .	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher sold the sales clerk a car .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
elizabeth traded a book to the mother .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth traded the mother a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael traded a computer to the mother .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael traded the mother a computer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole traded a car to the mother .	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
nicole traded the mother a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher peddled a book to the mother .	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
christopher peddled the mother a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jason peddled a computer to the customer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason peddled the customer a computer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher peddled a car to the sales clerk .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher peddled the sales clerk a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jason offered a book to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason offered the sales clerk a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael offered a computer to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
michael offered the customer a computer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher offered a car to the sales clerk .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher offered the sales clerk a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael rented a car to the tenant .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael rented the tenant a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica rented an apartment to the tenant .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica rented the tenant an apartment .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
elizabeth loaned a car to the defendant .	1	0	1	0	0	1	1	1	0	1	1	1	0	0	0	1	1	1	1	0	0
elizabeth loaned the defendant a car .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica loaned an apartment to the defendant .	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
jessica loaned the defendant an apartment .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason allotted a plot of land to the children .	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	0
jason allotted the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica allotted the property to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jessica allotted the family lawer the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth allotted the art collection to the client .	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	0	0
elizabeth allotted the client the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher allotted the mansion to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher allotted the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bequeathed a plot of land to the children .	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1	1	1	0	1	0	0
nicole bequeathed the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica bequeathed the property to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica bequeathed the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bequeathed the art collection to the client .	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole bequeathed the client the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica bequeathed the mansion to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica bequeathed the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael ceded a plot of land to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1
michael ceded the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth ceded the property to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth ceded the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
christopher ceded the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1
christopher ceded the client the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher ceded the mansion to the client .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher ceded the client the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica granted a plot of land to the client .	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0
jessica granted the client a plot of land .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth granted the property to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth granted the client the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason granted the art collection to the client .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0
jason granted the client the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason granted the mansion to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
jason granted the family lawer the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated a plot of land to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated the children a plot of land .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason allocated the property to the children .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason allocated the children the property .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica allocated the art collection to the family lawer .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica allocated the family lawer the art collection .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated the mansion to the client .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael allocated the client the mansion .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jason forwarded a letter to the recipient .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason forwarded the recipient a letter .	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
nicole forwarded a package to the client .	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0
nicole forwarded the client a package .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher forwarded an email to the recipient .	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
