test MCC		0.46781,	0.57201,	0.48700,	0.51089,	0.56428,	0.40967,	0.55046,	0.63804,	0.59919,	0.52104,	0.47349,	0.59919,	0.59337,	0.58133,	0.60418,	0.49349,	0.57750,	0.52232,	0.54508,	0.50055,
test Accuracy		73.58491,	77.67296,	74.52830,	75.47170,	78.30189,	70.75472,	77.04403,	81.76101,	79.87421,	75.78616,	73.89937,	79.87421,	79.55975,	78.61635,	80.18868,	74.52830,	78.93082,	75.78616,	77.04403,	75.15723,
dev MCC	gold	0.62361,	0.72577,	0.62361,	0.69510,	0.76026,	0.60059,	0.69510,	0.80498,	0.73994,	0.69510,	0.64508,	0.78478,	0.73994,	0.71987,	0.78478,	0.67488,	0.73994,	0.69510,	0.69510,	0.60238,
michael blinked his eyes .	1	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	0	1	0	0	1
michael blinked .	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly squinted her eyes .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly squinted .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
david winked his eyes .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david winked .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth clapped her hands .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth clapped .	1	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
michael waved his hands .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
michael waved .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jessica flexed her muscles .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica flexed .	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
jessica brushed her teeth .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jessica brushed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kelly brushed her molars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
kelly brushed .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
david flossed his teeth .	1	0	0	1	0	1	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0
david flossed .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elizabeth flossed her molars .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
