If Sam was going, Sally would know where.	1	1	0	1	1
She mailed John a letter, but I don't know to whom.	0	0	0	0	0
I served my guests.	1	1	1	1	1
She was bathing, but I couldn't make out who.	0	0	0	0	0
John was tall, but I don't know on what occasions.	0	0	0	0	0
I know that Meg's attracted to Harry, but they don't know who.	0	0	0	0	0
Everyone relies on someone. It's unclear who.	1	0	0	1	1
The newspaper has reported that they are about to appoint someone, but I can't remember who the newspaper has reported that they are about to appoint.	0	1	1	1	1
Everybody gets on well with a certain relative, but often only his therapist knows which one.	1	1	1	1	0
He announced he had eaten the asparagus, but we didn't know what.	0	0	0	0	0
She talked to John or Mary but I don't know which.	1	1	1	1	1
She talked to John or Mary but I don't know which one.	1	1	1	1	1
Meg is attracted to Harry, but they don't know who she is attracted to.	1	0	0	1	0
What did you leave before they started playing?	0	0	0	0	0
I think Agnes said that Bill would speak, but I don't remember what about.	1	1	1	1	1
Tony sent Mo a picture that he painted, but it's not clear with what.	1	1	0	1	1
Who did they see someone?	0	0	0	0	0
The book was by John written.	0	0	0	0	0
The book was seen by Mary.	1	1	1	1	1
Mary was given by John the book.	0	0	0	0	0
John was believed to be telling the truth by Mary.	1	1	0	1	1
John was believed by Mary to be telling the truth.	1	1	1	1	1
The car was driven by John to Maine.	1	1	1	1	1
Chocolate eggs were hidden from each other by the children.	1	0	0	0	0
Books were taken from no student and given to Mary.	0	0	0	0	0
Bill ate the peaches, but Harry the grapes.	1	0	1	1	1
Bill ate the peaches and Harry did the grapes.	1	0	0	0	0
Because Steve's of a spider's eye had been stolen, I borrowed Fred's diagram of a snake's fang.	0	0	0	0	0
Jerry attempted to blow up the Pentagon.	1	1	1	1	1
Bill bought a red house, and Max bought one too.	1	1	1	1	1
I know the person whose mother died.	1	1	1	1	1
Bother you that Kim left!	0	0	0	0	0
Mary arranged for, in St. Louis, John to rent a house cheap.	0	0	0	1	1
I wonder in whom them to place their trust.	0	0	0	0	0
I wonder whom us to trust.	0	0	0	0	0
Jones, that we were talking to last night, always watches football games alone.	0	0	0	0	1
A letter was received that Jones would be upset by.	1	1	1	1	1
The only person whose kids Dana is willing to put up with was written by John.	0	0	0	0	0
The book that I like - everyone else in the class hates.	1	0	1	1	1
Which book's, author did you meet who you liked?	0	1	0	0	1
All who lost money in the scam are eligible for the program.	1	1	1	1	1
Who for Sandy to talk to is still enrolled in the class?	0	0	0	0	0
The only people being added to our group who were at Harvard were students.	1	1	1	1	1
Leslie told ourselves about us.	0	0	0	0	0
Those pictures of us offended us.	1	1	1	1	1
We admired the pictures of us in the album.	1	1	1	1	1
We admired the pictures of ourselves in the album.	1	1	1	1	1
Max is on the phone now.	1	1	1	1	1
They lost themselves' books.	0	0	0	0	0
I noticed the.	0	0	0	0	0
This is my favorite.	1	1	1	1	1
Some people yell at the dogs.	1	1	1	1	1
The teacher handed the student.	0	0	0	0	0
The bird sing.	0	0	0	0	0
I was already aware of fact.	0	0	0	0	0
The guests dined.	1	1	1	1	1
We relied on Leslie.	1	1	1	1	1
Newsweek appeared on the newsstands.	1	1	1	1	1
The book surprised many people.	1	1	1	1	1
The storm arrived while we ate lunch.	0	1	1	1	1
These dogs barked.	1	1	1	1	1
The cat slept soundly and furry.	0	0	0	0	0
Chris walks, Pat eats broccoli, and Sandy plays squash.	1	1	1	1	1
Nobody told Susan about herself.	1	0	1	1	1
Protect yourself!	1	1	1	1	1
the putter of books left.	0	0	0	1	1
The cat was bitten the mouse.	0	0	0	0	1
Chris was handed Sandy a note by Pat.	0	0	0	0	0
The patient died.	1	1	1	1	1
TV puts dumb ideas.	0	0	0	0	0
There is a monster in Loch Ness.	1	1	1	1	1
People are looking through the window.	1	1	1	1	1
It never occurred to Pat that Chris knew the answer.	1	1	1	1	1
It loved Sandy.	1	1	1	1	1
We forgot our invitations.	1	1	1	1	1
Advantage is taken of every opportunity for improvement.	0	0	0	0	1
The bucket was kicked by Pat.	1	1	1	1	1
John is sad.	1	1	1	1	1
Of whom are you thinking?	1	1	1	1	1
John is sick.	1	1	1	1	1
John tried to leave.	1	1	1	1	1
John was struck by Bill as pompous.	0	0	0	0	1
John was promised by Bill to leave.	1	0	0	1	0
They make good cooks.	1	1	1	1	1
I would prefer to leave.	1	1	1	1	1
I would hate for John to leave.	1	1	1	1	1
It was hated for John to leave.	0	0	0	0	0
to die is no fun.	1	1	1	1	1
That he is here is clear.	1	1	1	1	1
John believes it sincerely that Bill is here.	1	0	0	0	1
John believed it that Bill was tardy.	1	0	0	0	0
It is to give up to leave.	0	0	0	0	0
I bought it to read.	1	1	1	1	1
I gave Pete the book to impress.	1	0	0	0	0
I presented it to Bill to read.	1	1	1	1	1
I gave a book to Bill to read.	1	1	1	1	1
John made Bill mad at himself.	1	1	1	1	1
The correspondence school made Bill a good typist.	1	1	1	1	1
John bought a dog for himself to play with.	1	1	1	1	1
John arranged for himself to get the prize.	1	1	1	1	1
The weights made the rope stretch over the pulley.	1	1	1	1	1
The more you would want, the less you would eat.	1	0	1	1	1
I demand that the more John eat, the more he pays.	0	1	0	1	1
